Name,Algorithm,Domain 1,EXT,LEX_LVL,LLM,Library Segment,MF_count,Notes,Origin,PIL,Passage Version,Passage_Text,Revision_Type,Rollout_Number,Set,Source Model,Status,Synced,TONE_REC 1,Tier Type,Word Count
EXT-1A-01,ALG-01,HEA,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Chronic pain is both a physical and psychological puzzle. Patients often feel a sudden, deep confidence that a new treatment is “working,” even when objective measures show little change. What’s driving that belief? The brain’s remarkable neuroplasticity can create sensations that feel like genuine relief — reinforcement loops of expectation and feedback. Over time, the nervous system adapts to the ritual of treatment, and the patient’s internal model recalibrates. Confidence grows not from actual change in pain signals, but from the brain’s interpretation of experience. This creates a kind of false positive belief: confidence reinforced by neurocognitive patterns rather than therapeutic effect. Recognizing this uncoupling of subjective certainty from objective improvement helps clinicians and patients navigate treatment choices more intelligently and avoid chasing illusions of progress.",,1,,,Draft,YES,TON-HBRN,,126
EXT-CUL-001,ALG-04,CUL,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Concerns about concentrated media ownership often focus on the idea that a small number of companies directly shape public opinion through editorial control. This explanation is appealing because it treats influence as intentional and centralized. The underlying mechanism, however, is more structural, involving advertising markets, audience measurement systems, and economies of scale that reward uniform content. As media firms grow, they increasingly optimize for predictable revenue streams rather than explicit ideological messaging, which narrows the range of viewpoints indirectly. Additionally, digital distribution amplifies this effect by favoring content that performs well across platforms rather than content that reflects local or minority perspectives. Such patterns suggest that ownership concentration affects media diversity less through overt control and more through economic incentives that quietly shape what information is most visible.",,2,,,Draft,,TON-FRK,,128
EXT-3A-03,ALG-09,SCI,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-M,,"Research on prairie dog alarm calls has often been cited as evidence of unusually complex animal communication. Scientists note that these calls vary with predator type, size, and speed, which has encouraged comparisons to elements of human language and even prompted broader claims about proto-grammar in nonhuman species. However, closer analysis suggests that this interpretation may rely heavily on human habits of abstraction. Prairie dogs respond to recurring threats with learned acoustic patterns, shaped by reinforcement rather than symbolic intent or conscious representational encoding. When researchers map these patterns onto linguistic categories, they risk projecting structured meaning where none is encoded. This cross-domain inference reveals more about human cognitive tendencies than prairie dog cognition, highlighting how easily analytical frameworks can overshoot the phenomena they aim to explain in comparative cognition research contexts.
",,3,,,Draft,,TON-SCI,,132
EXT-CUL-007,ALG-04,CUL,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-M,,"Cultural diplomacy often appears to be a symbolic exercise focused on exhibitions, exchanges, or performances that showcase national identity abroad. This perception persists because its effects are indirect and unfold slowly, making them harder to measure than trade or security outcomes. The underlying mechanism, however, lies in repeated interpersonal contact, which subtly shapes trust, familiarity, and long-term perceptions of legitimacy. Programs such as language institutes or artist residencies operate through sustained exposure rather than persuasion, gradually lowering social and political barriers. Additionally, these initiatives tend to function most effectively when they are insulated from short-term political shifts, allowing continuity across changing administrations. Such patterns illustrate that influence in international relations is not produced solely through formal agreements or economic leverage, but also through durable cultural relationships that accumulate value over time.",,4,,,Draft,,TON-HBRN,,131
EXT-4A-01,ALG-04,ENV,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-H,,"Across many ecosystems, rising nitrogen inputs from agriculture and urban runoff are often credited with improving plant productivity, since added nutrients remove an obvious growth constraint and promise quick, visible gains. That logic breaks down because excess nitrogen reshapes ecological interactions, favoring fast-growing species while quietly weakening the underground support systems that help plants share nutrients and cope with stress over time. In fertilized grasslands, for instance, short-lived plants expand quickly, yet those cooperative soil relationships fade, reducing resilience even as total biomass increases. At the same time, saturated soils lose their ability to retain nutrients, allowing runoff and acidification to intensify. These responses show that ecosystems do not scale smoothly with added resources, underscoring how apparent gains can conceal structural weakening rather than durable improvement.",,5,,,Draft,,TON-FRK,,126
EXT-EDU-002,ALG-04,EDU,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-H,,"In many school systems, the practice of placing students with disabilities in mainstream classrooms produces mixed academic and social outcomes that observers often attribute solely to instructional quality. This pattern persists because inclusion changes classroom dynamics, altering peer interaction, teacher workload, and pacing in ways that are not immediately visible. For example, when specialized support staff rotate across multiple classes, assistance becomes intermittent, even as expectations for uniform participation remain constant. Additionally, curriculum materials designed for standardized progression can unintentionally disadvantage both disabled students and their peers by limiting flexible adjustment. Such patterns illustrate that debates about inclusion hinge less on ideology than on how structural supports, coordination, and resource allocation shape everyday learning conditions over time within schools and districts managing diverse classrooms.",,6,,,Draft,,TON-SCI,,124
EXT-4B-02,ALG-03,WRK,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Over the past decade, more workers have embraced freelance and contract work, drawn by autonomy and flexible schedules, and this shift has reshaped labor markets in visible ways. Yet beneath the surface, this trend also reveals a quieter tension: individuals outside traditional employer structures tend to participate less in conventional retirement plans, from employer-linked retirement savings plans to employer-sponsored pensions. While independent work can feel liberating on the surface, the lack of automatic enrollment, employer matching, and steady payroll deductions means many freelancers delay or forgo saving for the future. As a result, the growth in self-directed labor coexists with a decline in routine retirement participation, highlighting how behavioral patterns adapt to new work arrangements in ways that don’t always align with long-term financial health.",,7,,,Draft,,TON-HBRN,,125
EXT-EDU-008,ALG-04,EDU,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Arguments over whether universities should limit legacy admissions, the practice of giving admissions preference to applicants with family ties to alumni, often focus on fairness and social mobility, yet this debate overlooks how the policy fits into broader institutional dynamics. Many selective universities rely heavily on private donations, endowment growth, and stable enrollment forecasts to sustain research, facilities, and financial aid commitments. Legacy applicants are statistically more likely to enroll when admitted and to maintain long-term financial ties to the institution, which lowers uncertainty in both revenue planning and yield management. Because rankings and budget models reward predictability, admissions offices face incentives that extend beyond individual merit evaluations. Over time, these incentives become embedded in administrative routines rather than defended as explicit moral choices. This helps explain why legacy policies persist even as public criticism grows, revealing that what appears to be a purely ethical issue is also shaped by structural pressures within higher education systems.",,8,,,Validated,,TON-FRK,,156
EXT-5B-01,ALG-03,ECO,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-M,,"Remote work has become a durable feature of many labor markets, altering where work occurs without immediately transforming the economic structures built around offices. The shift is commonly attributed to employee preferences and improvements in communication technology, but those explanations overlook a slower-moving constraint embedded in commercial real estate systems. Long-term leases, financing arrangements, and valuation models are designed around stable occupancy assumptions that change far more slowly than work habits. However, this mismatch creates an ironic outcome: physical demand for offices falls faster than the economic signals tied to them. Buildings remain classified, taxed, and financed as if full utilization were expected, even when usage drops sharply. As a result, vacancy accumulates without rapid price correction or redevelopment. This delay affects city revenues, investment planning, and surrounding businesses that depend on office density. The consequence is that the economic impact of remote work appears muted, not because the trend is weak, but because structural adjustment operates on a longer timeline than behavioral change.",,9,,,Draft,,TON-SCI,,164
EXT-ENV-004,ALG-04,ENV,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-F,,"International climate agreements attract broad endorsement, yet observable compliance remains uneven across signatory states. The gap is often explained as reluctance or bad faith, but closer analysis points to structural constraints embedded in how these agreements operate. Targets are frequently framed as nationally determined, which allows domestic economic priorities, especially energy security and industrial employment, to outweigh external commitments. Compliance also depends on administrative capacity, since monitoring, reporting, and enforcement demand institutions that are unevenly developed across countries. Meanwhile, the benefits of compliance materialize slowly and globally, while the political costs of higher prices or job disruption are immediate and local. Electoral cycles amplify this imbalance by favoring short-term economic reassurance over long-horizon environmental risk reduction. Seen this way, inconsistent follow-through reflects predictable incentive misalignment rather than simple rejection of collective climate objectives that lack binding enforcement mechanisms and shared accountability.",,10,,,Draft,,TON-HBRN,,141
