Name,Library Segment,Word Count,Algorithm,Passage_Text,Status,LLM,Passage Version,Notes
OR-01-SOC,ORIENT,79,Pattern 1,"Today, many modern teams work together across different places and time zones worldwide. They use online tools to share ideas quickly, which appears to increase choice and daily comfort for many workers. However, while messages move fast, deeper trust may form more slowly because people rarely solve problems face to face in the same room. As a result, this growing trend suggests that true teamwork depends not only on easy access but also on regular shared experience over time.",Validated,GPT,,
OR-02-ECN,ORIENT,72,Pattern 1,"In many cities, work hours are becoming longer for a growing number of people. Many workers stay late at the office, which seems to increase income and improve career chances over time. However, as daily routines stretch into evening hours, regular habits such as shared meals and rest may slowly disappear. As a result, this trend suggests that longer hours do not always create a better daily life, even if earnings rise.",Validated,GPT,,
OR-03-ENV,ORIENT,74,Pattern 1,"In many regions, cities are growing quickly and spreading into nearby open land. New homes and roads are built at the edge of town, which appears to offer comfort and easier travel for many families. However, as buildings replace trees and fields, local green space becomes smaller and daily contact with nature grows rare. As a result, this expansion suggests that urban growth does not always increase quality of life, even when housing improves.",Validated,GPT,,
OR-04-TEC,ORIENT,78,Pattern 1,"Across many industries today, the number of daily messages continues to grow each year. New digital platforms allow instant contact between workers, which seems to support quick decisions and constant coordination across teams. However, as workers receive alerts throughout the day and evening, attention becomes divided and thoughtful replies are often delayed. As a result, this steady increase in communication suggests that greater speed in sending messages does not always produce clearer or more effective exchange over time.",Validated,GPT,,
OR-05-HLT,ORIENT,80,Pattern 1,"In many communities today, more people are adding exercise to their daily routines each week. Regular workouts seem to increase strength and improve mood over time for many adults. However, as activity levels rise quickly without careful planning, some individuals report feeling more tired during the day because their bodies have less time to recover fully. As a result, this growing pattern suggests that more exercise does not always lead to greater energy, especially when rest and sleep are limited.",Validated,GPT,,
OR-06-SCI,ORIENT,74,Pattern 1,"In many homes and schools, screen time is increasing for both adults and children. Digital devices provide quick access to information, which seems to support learning and daily tasks. However, as time in front of screens grows longer, sustained focus on a single activity may become harder because attention shifts quickly between images and alerts. As a result, this trend suggests that greater access to information does not always strengthen deep concentration over time.",Validated,GPT,,
OR-07-SCI,ORIENT,72,Pattern 2,"People often tap their feet while sitting for a long time. This happens because the body slowly builds small amounts of tension in the legs, and moving the foot helps gently release that extra energy through simple muscle action. As a result, the person may feel slightly calmer and more relaxed without thinking about the movement. Therefore, this quiet daily habit shows how the body manages small physical stress in everyday life.",Validated,GPT,,
OR-08-BIO,ORIENT,70,Pattern 2,"Many people see that their hands become cold in stressful moments. This happens because the body quickly moves blood away from the skin, and it sends more blood toward large muscles deep inside the body. As a result, the fingers may feel cool and slightly stiff even in a warm room. Therefore, this common physical reaction shows how the body shifts its energy and focus to prepare for quick action.",Validated,GPT,,
OR-09-TEC,ORIENT,70,Pattern 2,"Fitness trackers sometimes record steps even when a person is sitting still. This happens because the device senses small wrist movements during normal daily activity, and it may interpret these repeated motions as real walking patterns. As a result, the daily step count can slowly rise without any actual travel across distance. Therefore, this common measurement problem shows how tools that track movement must interpret signals that are often unclear.",Validated,GPT,,
OR-10-SOC,ORIENT,70,Pattern 2,"In group meetings, people sometimes agree quickly with the first strong opinion. This happens because individuals often look for social signals in uncertain moments, and early confidence can strongly shape how others judge the situation around them. As a result, later speakers may repeat similar ideas instead of offering different views or new suggestions. Therefore, this common group pattern shows how early signals can quietly guide shared decisions over time.",Validated,GPT,,
OR-11-PHY,ORIENT,76,Pattern 2,"A clear drinking glass can produce a ringing sound when a wet finger slowly moves around its rim. This happens because the gentle motion creates steady vibrations in the thin glass surface, and those vibrations move through the air as sound waves. As a result, the clear tone continues as long as the movement stays smooth and even. Therefore, this simple physical change shows how steady motion can turn silent objects into lasting sources of sound.",Validated,GPT,,
