Name,Rollout_Number,Status,LEX_LVL,Library Segment,EXT,Word Count,PIL,Algorithm,Passage_Text,Synced,Notes,LLM,Origin,Domain 1,Passage Version,TONE_REC 1,MF_count,Revision_Type,Set,Source Model,Tier Type
COR-EDU-001,1,Active,,CORE,,75,,ALG-03,"Schools are increasingly adding standardized tests to monitor progress, hoping the results will simplify how learning is tracked. Some people assume the change is meant only to create clearer scores, yet many districts also choose these tests because they replace time-consuming classroom tasks. However, this shift can reduce the deeper understanding teachers gain from their own assessments. This pattern shows how a simpler system may hide trade-offs that affect how learning is understood.",YES,,GPT,SYN,EDU,v1.0,,,,1,ESO,Tier 0
EXT-1A-01,1,Draft,LEX-A,EXT,EXT-S,126,PIL-F,ALG-01,"Chronic pain is both a physical and psychological puzzle. Patients often feel a sudden, deep confidence that a new treatment is “working,” even when objective measures show little change. What’s driving that belief? The brain’s remarkable neuroplasticity can create sensations that feel like genuine relief — reinforcement loops of expectation and feedback. Over time, the nervous system adapts to the ritual of treatment, and the patient’s internal model recalibrates. Confidence grows not from actual change in pain signals, but from the brain’s interpretation of experience. This creates a kind of false positive belief: confidence reinforced by neurocognitive patterns rather than therapeutic effect. Recognizing this uncoupling of subjective certainty from objective improvement helps clinicians and patients navigate treatment choices more intelligently and avoid chasing illusions of progress.",YES,,GPT,SYN,HEA,,TON-HBRN,,,,,
COR-SCI-010,2,Active,,CORE,,84,,ALG-04,"People often think that studying for a long stretch is the best way to remember something, but spreading study time across days can work better. The gap lets a little forgetting happen, and reviewing later forces learners to rebuild the idea with more care. In small class activities, students who studied in short rounds remembered more on later quizzes. Another factor is that revisiting older ideas keeps them active. This shows that slower, repeated practice can strengthen learning even when it feels less efficient.",,,GPT,SYN,SCI,v1.0,,,,1,ASA - LEG,Tier 0
EXT-CUL-001,2,Draft,LEX-A,EXT,EXT-S,128,PIL-F,ALG-04,"Concerns about concentrated media ownership often focus on the idea that a small number of companies directly shape public opinion through editorial control. This explanation is appealing because it treats influence as intentional and centralized. The underlying mechanism, however, is more structural, involving advertising markets, audience measurement systems, and economies of scale that reward uniform content. As media firms grow, they increasingly optimize for predictable revenue streams rather than explicit ideological messaging, which narrows the range of viewpoints indirectly. Additionally, digital distribution amplifies this effect by favoring content that performs well across platforms rather than content that reflects local or minority perspectives. Such patterns suggest that ownership concentration affects media diversity less through overt control and more through economic incentives that quietly shape what information is most visible.",,,GPT,SYN,CUL,,TON-FRK,,,,,
COR-WRK-007,3,Active,,CORE,,70,,ALG-03,"Many workers welcome the idea of a four-day week, since it seems to offer more rest and better focus. Still, some trials show that shorter weeks can raise daily pressure, and teams sometimes struggle to stay organized. Managers in these trials note that small tasks pile up faster than expected. Because of this, the change can feel harder than planned, even though it was meant to make work easier.",,,GPT,SYN,WRK,v1.0,,,,1,ESO,Tier 0
EXT-3A-03,3,Draft,LEX-A,EXT,EXT-S,132,PIL-M,ALG-09,"Research on prairie dog alarm calls has often been cited as evidence of unusually complex animal communication. Scientists note that these calls vary with predator type, size, and speed, which has encouraged comparisons to elements of human language and even prompted broader claims about proto-grammar in nonhuman species. However, closer analysis suggests that this interpretation may rely heavily on human habits of abstraction. Prairie dogs respond to recurring threats with learned acoustic patterns, shaped by reinforcement rather than symbolic intent or conscious representational encoding. When researchers map these patterns onto linguistic categories, they risk projecting structured meaning where none is encoded. This cross-domain inference reveals more about human cognitive tendencies than prairie dog cognition, highlighting how easily analytical frameworks can overshoot the phenomena they aim to explain in comparative cognition research contexts.
",,,GPT,SYN,SCI,,TON-SCI,,,,,
COR-SCI-002,4,Active,,CORE,,70,,Missing,"Late in the day, shoppers often accept poorer deals even when prices stay constant. This occurs because repeated self-control taxes attention, which becomes harder to allocate efficiently over time. After several small judgments, options are compared more quickly, leaving subtle differences unnoticed. However, a brief pause of a few minutes or a snack can restore careful evaluation temporarily. Such anomalies suggest that choice quality depends on recovery cycles, not on willpower alone.",,,GPT,SYN,SCI,v1.0,,,,1,ASA - LEG,Tier 0
EXT-CUL-007,4,Draft,LEX-A,EXT,EXT-S,131,PIL-M,ALG-04,"Cultural diplomacy often appears to be a symbolic exercise focused on exhibitions, exchanges, or performances that showcase national identity abroad. This perception persists because its effects are indirect and unfold slowly, making them harder to measure than trade or security outcomes. The underlying mechanism, however, lies in repeated interpersonal contact, which subtly shapes trust, familiarity, and long-term perceptions of legitimacy. Programs such as language institutes or artist residencies operate through sustained exposure rather than persuasion, gradually lowering social and political barriers. Additionally, these initiatives tend to function most effectively when they are insulated from short-term political shifts, allowing continuity across changing administrations. Such patterns illustrate that influence in international relations is not produced solely through formal agreements or economic leverage, but also through durable cultural relationships that accumulate value over time.",,,GPT,SYN,CUL,,TON-HBRN,,,,,
COR-EDU-006,5,Active,,CORE,,73,,Missing,"As household debt grows, many education officials argue that schools should teach basic money skills, claiming this would prevent poor decisions later in life. In response, some systems have added short financial literacy courses to secondary curricula. However, critics note that students often lack income or real choices, which limits the practical impact of such lessons. These concerns suggest that timing, rather than content alone, may determine whether financial education actually helps students.",,,GPT,SYN,EDU,v1.0,,,,1,ESO,Tier 0
EXT-4A-01,5,Draft,LEX-A,EXT,EXT-S,126,PIL-H,ALG-04,"Across many ecosystems, rising nitrogen inputs from agriculture and urban runoff are often credited with improving plant productivity, since added nutrients remove an obvious growth constraint and promise quick, visible gains. That logic breaks down because excess nitrogen reshapes ecological interactions, favoring fast-growing species while quietly weakening the underground support systems that help plants share nutrients and cope with stress over time. In fertilized grasslands, for instance, short-lived plants expand quickly, yet those cooperative soil relationships fade, reducing resilience even as total biomass increases. At the same time, saturated soils lose their ability to retain nutrients, allowing runoff and acidification to intensify. These responses show that ecosystems do not scale smoothly with added resources, underscoring how apparent gains can conceal structural weakening rather than durable improvement.",,,GPT,SYN,ENV,,TON-FRK,,,,,
COR-ECN-002,6,Active,,CORE,,70,,Missing,"In many firms, the use of performance bonuses has increased to raise output. Many managers assume that extra pay naturally strengthens effort. However, studies suggest a different driver: workers who once took pride in the task may shift attention to the reward itself. As a result, effort can narrow to what is measured, while care and creativity fade. This pattern shows how incentives may weaken motivation rather than build it.",,,GPT,SYN,ECN,v1.0,,,,1,ASA - LEG,Tier 0
