Name,Rollout_Number,Set,Library Segment,Tier Type,Domain 1,Source Model,Algorithm,MF_count,Passage Version,Status,Word Count,Passage_Text,Revision_Type,Notes,LLM,Origin,EXT,LEX_LVL,PIL,Synced,TONE_REC 1
COR-EDU-001,1,1,CORE,Tier 0,EDU,ESO,ALG-03,,v1.0,Active,75,"Schools are increasingly adding standardized tests to monitor progress, hoping the results will simplify how learning is tracked. Some people assume the change is meant only to create clearer scores, yet many districts also choose these tests because they replace time-consuming classroom tasks. However, this shift can reduce the deeper understanding teachers gain from their own assessments. This pattern shows how a simpler system may hide trade-offs that affect how learning is understood.",,,GPT,SYN,,,,YES,
COR-SCI-010,2,1,CORE,Tier 0,SCI,ASA - LEG,ALG-04,,v1.0,Active,84,"People often think that studying for a long stretch is the best way to remember something, but spreading study time across days can work better. The gap lets a little forgetting happen, and reviewing later forces learners to rebuild the idea with more care. In small class activities, students who studied in short rounds remembered more on later quizzes. Another factor is that revisiting older ideas keeps them active. This shows that slower, repeated practice can strengthen learning even when it feels less efficient.",,,GPT,SYN,,,,,
COR-WRK-007,3,1,CORE,Tier 0,WRK,ESO,ALG-03,,v1.0,Active,70,"Many workers welcome the idea of a four-day week, since it seems to offer more rest and better focus. Still, some trials show that shorter weeks can raise daily pressure, and teams sometimes struggle to stay organized. Managers in these trials note that small tasks pile up faster than expected. Because of this, the change can feel harder than planned, even though it was meant to make work easier.",,,GPT,SYN,,,,,
COR-SCI-002,4,1,CORE,Tier 0,SCI,ASA - LEG,Missing,,v1.0,Active,70,"Late in the day, shoppers often accept poorer deals even when prices stay constant. This occurs because repeated self-control taxes attention, which becomes harder to allocate efficiently over time. After several small judgments, options are compared more quickly, leaving subtle differences unnoticed. However, a brief pause of a few minutes or a snack can restore careful evaluation temporarily. Such anomalies suggest that choice quality depends on recovery cycles, not on willpower alone.",,,GPT,SYN,,,,,
COR-EDU-006,5,1,CORE,Tier 0,EDU,ESO,Missing,,v1.0,Active,73,"As household debt grows, many education officials argue that schools should teach basic money skills, claiming this would prevent poor decisions later in life. In response, some systems have added short financial literacy courses to secondary curricula. However, critics note that students often lack income or real choices, which limits the practical impact of such lessons. These concerns suggest that timing, rather than content alone, may determine whether financial education actually helps students.",,,GPT,SYN,,,,,
COR-ECN-002,6,1,CORE,Tier 0,ECN,ASA - LEG,Missing,,v1.0,Active,70,"In many firms, the use of performance bonuses has increased to raise output. Many managers assume that extra pay naturally strengthens effort. However, studies suggest a different driver: workers who once took pride in the task may shift attention to the reward itself. As a result, effort can narrow to what is measured, while care and creativity fade. This pattern shows how incentives may weaken motivation rather than build it.",,,GPT,SYN,,,,,
COR-WRK-003,7,1,CORE,Tier 0,WRK,ESO,Missing,,v1.0,Active,70,"While digital tools make work more flexible, many employees now receive messages late at night, creating stress beyond paid hours. In response, some governments have proposed rules that protect the right to disconnect after work. The aim is to reduce burnout and protect personal time. However, some employers argue that strict limits may reduce efficiency in global teams. This debate shows how a simple rule can create unexpected trade-offs.",,,GPT,SYN,,,,,
COR-SCI-013,8,1,CORE,Tier 0,SCI,ASA - LEG,Missing,,v1.0,Active,70,"The improvement seen in long-term learning is often connected to extra exposure, but recent evidence challenges that explanation. Many assumed that repeated review was responsible for stronger memory. However, closer analysis shows that the act of retrieval itself alters how information is stored. Struggling to recall material forces deeper processing, which reinforces memory pathways. This pattern indicates that forgetting during practice is not failure but part of effective learning.",,,GPT,SYN,,,,,
COR-EDU-015,9,1,CORE,Tier 0,EDU,ESO,Missing,,v1.0,Active,72,"Rural schools often face persistent teacher shortages, especially in remote districts where living costs and isolation discourage applicants. In response, governments have introduced salary bonuses and loan assistance to attract educators to these areas. The intention is to stabilize staffing and improve instructional quality. However, critics argue that financial incentives alone overlook professional isolation and limited support. These conditions suggest that money may recruit teachers initially, but not keep them long term.",,,GPT,SYN,,,,,
COR-ECN-010,10,1,CORE,Tier 0,ECN,ASA - LEG,Missing,,v1.0,Active,73,"Automation is often blamed for job loss, yet its strongest effect is a split in skill demand. Software replaces routine tasks, but many lower-skill jobs remain because they involve unpredictable settings and direct human interaction. Cleaning, caregiving, and food service require flexibility that machines still handle poorly. Meanwhile, middle-skill roles shrink as their tasks are easier to standardize. This pattern shows that productivity gains can deepen inequality rather than spread opportunity.",,,GPT,SYN,,,,,
COR-HLT-005,11,2,CORE,Tier 1,HLT,ESO,Missing,,v1.0,Active,71,"Rising obesity rates are often blamed on detrimental individual food choices, especially sugary drinks. At first, many believed poor awareness caused overconsumption. However, evidence indicates that low prices and targeted marketing shape behavior through repeated cues in everyday shopping settings. These factors make sugary drinks easier to choose than healthier options, gradually reinforcing habits across many communities over time. This pattern suggests consumption reflects the surrounding environment more than personal failure.",,,GPT,SYN,,,,,
COR-HLT-002,12,2,CORE,"COR-ENV-001, Tier 1",HLT,ASA - LEG,Missing,,v1.0,Active,75,"Researchers have found that the placebo effect depends on real neurological mechanisms operating beneath conscious awareness. Although patients think they are being treated, expectation changes brain signaling and reduces pain. In trials, people given inactive pills still showed improvement over short periods. However, this response relied on brain areas tied to anticipation and emotional regulation. These findings indicate that medical results are shaped not only by drugs but also by mental processes affecting the body.",,,GPT,SYN,,,,,
